date,n,top_n,bottom_n,top,bottom,spread,feature,horizon,note
2026-08-27,55,9,11,-0.018932317625960923,-0.02187968359205196,0.0029473659660910374,combined_score_rebuilt,1,higher=bullish
2026-09-01,92,15,15,0.004811846834807614,0.005730736583400079,-0.0009188897485924649,combined_score_rebuilt,1,higher=bullish
2026-09-02,64,10,13,-0.01204096661572667,-2.1450561472654208e-05,-0.012019516054254015,combined_score_rebuilt,1,higher=bullish
2026-09-03,63,13,15,-0.013411405384755552,0.005558872844454767,-0.018970278229210318,combined_score_rebuilt,1,higher=bullish
2026-08-18,575,116,115,0.006507007956349542,0.0020462178102843716,0.00446079014606517,flip_dist_atr,1,higher=bullish
2026-08-19,575,116,115,0.003950292225834075,-0.0030281715794227572,0.006978463805256832,flip_dist_atr,1,higher=bullish
2026-08-21,36,8,7,0.009294881172063316,0.002048736395507387,0.007246144776555929,flip_dist_atr,1,higher=bullish
2026-08-24,615,124,123,-0.006965360975958985,-0.008034612514397431,0.001069251538438446,flip_dist_atr,1,higher=bullish
2026-08-25,45,10,9,-0.002437089295773871,0.014508522293324564,-0.016945611589098436,flip_dist_atr,1,higher=bullish
2026-08-27,31,7,6,0.008010233806128943,-0.008157265182512799,0.01616749898864174,flip_dist_atr,1,higher=bullish
2026-09-01,54,11,10,0.008726839631035564,0.01825922225289253,-0.009532382621856964,flip_dist_atr,1,higher=bullish
2026-09-02,27,6,5,-0.02566168003238807,0.00703951840826172,-0.03270119844064979,flip_dist_atr,1,higher=bullish
2026-09-03,34,7,6,0.0012575540770202568,-0.007076788383480116,0.008334342460500374,flip_dist_atr,1,higher=bullish
2026-08-18,269,54,53,0.007316340711884798,0.007339595763333498,-2.325505144870014e-05,log_wall_rr,1,higher=bullish
2026-08-19,590,119,118,-0.0022457961228049463,0.0026850910673567223,-0.004930887190161669,log_wall_rr,1,higher=bullish
2026-08-21,40,9,8,0.0009423054796799896,0.017544220596184424,-0.016601915116504433,log_wall_rr,1,higher=bullish
2026-08-24,699,140,139,-0.0054198015672046315,-0.007336132296047682,0.00191633072884305,log_wall_rr,1,higher=bullish
2026-08-25,57,12,11,0.0003994684481309834,-0.0008281302628267178,0.0012275987109577012,log_wall_rr,1,higher=bullish
2026-08-27,38,8,7,-0.008740613645151213,-0.011671420304990727,0.002930806659839514,log_wall_rr,1,higher=bullish
2026-09-01,74,15,14,0.004970095989237773,0.011180345001689324,-0.00621024901245155,log_wall_rr,1,higher=bullish
2026-09-02,45,10,9,-0.00788145089479396,0.003126518082399778,-0.011007968977193737,log_wall_rr,1,higher=bullish
2026-09-03,44,9,8,0.002831608989548533,-0.0164066570228905,0.019238266012439033,log_wall_rr,1,higher=bullish
2026-08-18,593,119,118,0.002289430072232826,-0.0003777455486789136,0.0026671756209117395,signed_log_gex_per_oi,1,higher test only; dealer side unknown
2026-08-19,593,119,118,-0.0008730438340227931,-0.0003523727407350387,-0.0005206710932877544,signed_log_gex_per_oi,1,higher test only; dealer side unknown
2026-08-21,40,9,8,0.012492565811382611,-0.00037903661498654836,0.01287160242636916,signed_log_gex_per_oi,1,higher test only; dealer side unknown
2026-08-24,701,141,140,-0.009879947955858776,-0.006704283416888515,-0.0031756645389702607,signed_log_gex_per_oi,1,higher test only; dealer side unknown
2026-08-25,57,12,11,-0.0011984589219417253,0.014139072657376755,-0.01533753157931848,signed_log_gex_per_oi,1,higher test only; dealer side unknown
2026-08-27,39,8,7,-0.006370475000779275,-0.006739600670386385,0.00036912566960711074,signed_log_gex_per_oi,1,higher test only; dealer side unknown
2026-09-01,75,16,15,0.007754376754009244,0.008255191473653287,-0.0005008147196440427,signed_log_gex_per_oi,1,higher test only; dealer side unknown
2026-09-02,45,10,9,-0.00621399104128227,0.016100982451970877,-0.02231497349325315,signed_log_gex_per_oi,1,higher test only; dealer side unknown
2026-09-03,44,9,8,-0.006864321355651178,-0.006099854570925675,-0.0007644667847255034,signed_log_gex_per_oi,1,higher test only; dealer side unknown
2026-08-18,287,29,49,0.011828686346049487,-0.005099520892684385,0.016928207238733874,options_score,1,quality-gated
2026-08-19,282,61,43,0.0009255886074038642,-0.004545084582735512,0.005470673190139376,options_score,1,quality-gated
2026-08-24,128,28,18,0.00501240436911241,0.011665023195397334,-0.006652618826284924,options_score,1,quality-gated
2026-08-18,606,43,70,0.016330783247205966,-0.0074219890225284395,0.023752772269734407,tech_score,3,higher=bullish
2026-08-19,604,131,166,0.026002703652213754,-0.003863680348299857,0.02986638400051361,tech_score,3,higher=bullish
2026-08-21,56,5,15,-0.00472271240275658,0.0007946155905123409,-0.005517327993268921,tech_score,3,higher=bullish
2026-08-24,728,42,84,-0.037815955264510884,0.006767365950170397,-0.04458332121468128,tech_score,3,higher=bullish
2026-08-25,82,11,27,-0.03893830458760999,-0.022116551672943123,-0.016821752914666865,tech_score,3,higher=bullish
2026-09-01,92,5,11,-0.03093880415428966,0.02953872748126891,-0.06047753163555857,tech_score,3,higher=bullish
2026-08-18,606,65,94,0.004401013003179455,0.002940445096955926,0.0014605679062235288,options_score,3,higher=bullish
2026-08-19,604,121,88,0.014365314092005919,0.00124375812301255,0.013121555968993368,options_score,3,higher=bullish
2026-08-21,56,12,7,-0.00918543321685175,-0.0035542496778384583,-0.005631183539013292,options_score,3,higher=bullish
2026-08-24,728,139,121,-0.018616464185409003,-0.015805466632580083,-0.0028109975528289206,options_score,3,higher=bullish
2026-08-25,82,17,11,-0.02411692224157197,0.00717031120571398,-0.03128723344728595,options_score,3,higher=bullish
2026-08-27,55,8,5,-0.021664731305067426,-0.0268958186959248,0.005231087390857373,options_score,3,higher=bullish
2026-09-01,92,13,19,-0.011313494772452599,-0.005568545316069203,-0.0057449494563833955,options_score,3,higher=bullish
2026-08-18,606,177,137,0.020284311641214345,0.0010439597277439496,0.019240351913470396,combined_score_rebuilt,3,higher=bullish
2026-08-19,604,112,130,0.019096203813388307,-0.005596527173451922,0.02469273098684023,combined_score_rebuilt,3,higher=bullish
