sector_etf,provider_symbol,symbol,weight_pct,name,source_url,provider
GRID,ITRI,ITRI,0.41,"Itron, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,6508.JP,6508.T,0.39,Meidensha Corporation,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ENEL.IM,ENEL.MI,0.37,Enel SpA,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ASTOR.TI,ASTOR.TI,0.35,Astor Enerji A.S.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,EMR,EMR,0.35,Emerson Electric Co.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,IFX.GY,IFX.DE,0.35,Infineon Technologies AG,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ATKR,ATKR,0.34,Atkore Inc.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,6503.JP,6503.T,0.32,Mitsubishi Electric Corporation,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,TAEE11.BZ,TAEE11.SA,0.32,Transmissora Alianca de Energia Electrica S.A. (Unit),https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,6409.TT,6409.TW,0.31,Voltronic Power Technology Corp.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,6752.JP,6752.T,0.3,Panasonic Holdings Corporation,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,HON,HON,0.28,Honeywell International Inc.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,001440.KS,001440.KS,0.28,"Taihan Cable & Solution Co., Ltd.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,5803.JP,5803.T,0.27,Fujikura Ltd.,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ALUP11.BZ,ALUP11.SA,0.25,Alupar Investimento S.A (Unit),https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
