engine,variant,timing,cost,policy,period,n,cagr,mdd,sharpe,sortino,calmar,daily_pf
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2024,252,0.6591363391930174,-0.20332820686764752,1.702127380326178,2.528016309348073,3.24173585823274,1.3501651042623912
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2025,250,0.9023637855807198,-0.14355652766534832,2.267707875552309,3.735495520831577,6.285773278692449,1.5132954696164886
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL5,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2026,54,-0.2841381033992577,-0.20250723427477602,-0.5677016109256587,-0.7608607979122638,-1.4031010023756445,0.9053122455814683
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,FULL,2568,0.4699569077265944,-0.25624394636078973,1.4695594698347354,2.2481244125419946,1.834021503340798,1.3298916965913952
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2016_2020,1259,0.5206845559950082,-0.25624394636078973,1.5909141095986388,2.534943024021499,2.0319877343049026,1.3755684477486276
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2021_2025,1255,0.46650287946887503,-0.254043262223572,1.4864716026136748,2.2194851465649115,1.8363127421121168,1.3234344716176678
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2022_2025,1003,0.47391774950384735,-0.21865054938904482,1.5807283098812133,2.384084887044512,2.167466538858797,1.3638226438461851
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2022_2026_AVAILABLE,1057,0.41930656060028104,-0.21865054938904482,1.397022215284021,2.0724539374602617,1.9177018387189555,1.3143898978667181
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2016,252,0.3337227067205273,-0.16115104185992324,1.465023384974247,2.2230775823013085,2.0708690609062765,1.319581047433569
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2017,251,0.38519978523786436,-0.11908185987507436,1.7948932356168315,2.599303308737849,3.234747808288914,1.344883307233842
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2018,251,0.2607860699063147,-0.25624394636078984,0.8603194105938268,1.2882001513780357,1.017725778930713,1.1912588480670006
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2019,252,0.4200038036783236,-0.13718286990853112,1.6501142682664531,2.623478617477746,3.0616344734467784,1.3445226751696393
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2020,253,1.4512081792595102,-0.20627079119591896,2.3557424968726166,4.084787828253346,7.035451654815886,1.6255565175897817
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2021,252,0.4373583750851542,-0.254043262223572,1.2259375658921254,1.7910803864115208,1.7215901388490864,1.2239988138050635
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2022,251,-0.07506306777887628,-0.13114043410264153,-0.33968684298227886,-0.4368616630662884,-0.5723869094418707,0.910294696209356
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2023,250,0.64612691800136,-0.12604039471198736,2.2711272070118587,3.4549338116564066,5.126347941688163,1.5141783502586852
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2024,252,0.6428531363937471,-0.2064849804735236,1.6720869597362185,2.480214720688628,3.1133166921851565,1.3428471851813826
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2025,250,0.8886490174856405,-0.14411949156641568,2.2440839489855553,3.6905943399568186,6.166057122648935,1.5067082804740306
LEGACY_GROSS100,CORE_DDV10,SAME_DAY_GROSS,ALL10,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2026,54,-0.29609118947845336,-0.20417085896419063,-0.6069872610506483,-0.8122873401968045,-1.4502127824734508,0.8991513210977735
